DNAMEDIA,>=,5.28
DNAMEDIA,>=,4.45
GHCL,>=,546.12
UTLINDS,>=,3.04
UTLINDS,>=,2.57
UTLINDS,<=,1.32
,>=,470.11
,>=,435.92
,<=,312.18
,<=,310.58

ARIES,>=,398.72
RELIANCE,>=,1486.79
BHARTIARTL,>=,2107.88
BHARTIARTL,>=,2017.86
SBIETFPB,>=,301.92
SBIETFPB,>=,289.14
SBIETFPB,<=,262.27
SBIETFPB,<=,255.39
ICICIBANK,>=,1345.55
ICICIBANK,>=,1294.52
ICICIBANK,<=,1237.33
